date,close,symbol,name
2019-05-23,5553.35,sz000651,格力电器
2019-05-24,5647.25,sz000651,格力电器
2019-05-27,5661.06,sz000651,格力电器
2019-05-28,5739.31,sz000651,格力电器
2019-05-29,5665.67,sz000651,格力电器
2019-05-30,5558.88,sz000651,格力电器
2019-05-31,5500.88,sz000651,格力电器
2019-06-03,5518.37,sz000651,格力电器
2019-06-04,5424.47,sz000651,格力电器
2019-06-05,5504.56,sz000651,格力电器
2019-06-06,5527.58,sz000651,格力电器
2019-06-10,5568.08,sz000651,格力电器
2019-06-11,5651.86,sz000651,格力电器
2019-06-12,5544.15,sz000651,格力电器
2019-06-13,5405.14,sz000651,格力电器
2019-06-14,5395.01,sz000651,格力电器
2019-06-17,5356.35,sz000651,格力电器
2019-06-18,5383.05,sz000651,格力电器
2019-06-19,5482.47,sz000651,格力电器
2019-06-20,5656.46,sz000651,格力电器
2019-06-21,5592.94,sz000651,格力电器
2019-06-24,5688.68,sz000651,格力电器
2019-06-25,5665.67,sz000651,格力电器
2019-06-26,5699.73,sz000651,格力电器
2019-06-27,5747.6,sz000651,格力电器
2019-06-28,5748.52,sz000651,格力电器
2019-07-01,6079.01,sz000651,格力电器
2019-07-02,6077.17,sz000651,格力电器
2019-07-03,5963.01,sz000651,格力电器
2019-07-04,5921.59,sz000651,格力电器
2019-07-05,6033.9,sz000651,格力电器
2019-07-08,5884.76,sz000651,格力电器
2019-07-09,5839.66,sz000651,格力电器
2019-07-10,5867.27,sz000651,格力电器
2019-07-11,5840.58,sz000651,格力电器
2019-07-12,5884.76,sz000651,格力电器
2019-07-15,5829.53,sz000651,格力电器
2019-07-16,5731.03,sz000651,格力电器
2019-07-17,5705.25,sz000651,格力电器
2019-07-18,5693.28,sz000651,格力电器
2019-07-19,5674.87,sz000651,格力电器
2019-07-22,5656.46,sz000651,格力电器
2019-07-23,5693.28,sz000651,格力电器
2019-07-24,5726.42,sz000651,格力电器
2019-07-25,5759.57,sz000651,格力电器
2019-07-26,5790.87,sz000651,格力电器
2019-07-29,5713.54,sz000651,格力电器
2019-07-30,5755.88,sz000651,格力电器
2019-07-31,5756.8,sz000651,格力电器
2019-08-01,5627.0,sz000651,格力电器
2019-08-02,5603.99,sz000651,格力电器
2019-08-05,5562.56,sz000651,格力电器
2019-08-06,5511.93,sz000651,格力电器
2019-08-07,5451.17,sz000651,格力电器
2019-08-08,5518.37,sz000651,格力电器
2019-08-09,5420.79,sz000651,格力电器
2019-08-12,5461.3,sz000651,格力电器
2019-08-13,5551.51,sz000651,格力电器
2019-08-14,5569.93,sz000651,格力电器
2019-08-15,5545.99,sz000651,格力电器
2019-08-16,5541.39,sz000651,格力电器
2019-08-19,5649.1,sz000651,格力电器
2019-08-20,5683.16,sz000651,格力电器
2019-08-21,5844.26,sz000651,格力电器
2019-08-22,5875.56,sz000651,格力电器
2019-08-23,5876.48,sz000651,格力电器
2019-08-26,5810.2,sz000651,格力电器
2019-08-27,5918.83,sz000651,格力电器
2019-08-28,5916.06,sz000651,格力电器
2019-08-29,5866.35,sz000651,格力电器
2019-08-30,5932.64,sz000651,格力电器
2019-09-02,6113.99,sz000651,格力电器
2019-09-03,6144.37,sz000651,格力电器
2019-09-04,6333.09,sz000651,格力电器
2019-09-05,6242.87,sz000651,格力电器
2019-09-06,6236.43,sz000651,格力电器
2019-09-09,6286.14,sz000651,格力电器
2019-09-10,6291.66,sz000651,格力电器
2019-09-11,6227.22,sz000651,格力电器
2019-09-12,6311.0,sz000651,格力电器
2019-09-16,6248.4,sz000651,格力电器
2019-09-17,6125.96,sz000651,格力电器
2019-09-18,6183.03,sz000651,格力电器
2019-09-19,6207.89,sz000651,格力电器
2019-09-20,6166.46,sz000651,格力电器
2019-09-23,6136.08,sz000651,格力电器
2019-09-24,6177.51,sz000651,格力电器
2019-09-25,6146.21,sz000651,格力电器
2019-09-26,6127.8,sz000651,格力电器
2019-09-27,6061.52,sz000651,格力电器
2019-09-30,6098.34,sz000651,格力电器
2019-10-08,6176.59,sz000651,格力电器
2019-10-09,6072.56,sz000651,格力电器
2019-10-10,6136.08,sz000651,格力电器
2019-10-11,6215.25,sz000651,格力电器
2019-10-14,6227.22,sz000651,格力电器
2019-10-15,6245.63,sz000651,格力电器
2019-10-16,6256.68,sz000651,格力电器
2019-10-17,6185.8,sz000651,格力电器
2019-10-18,6144.37,sz000651,格力电器
2019-10-21,6203.29,sz000651,格力电器
2019-10-22,6237.35,sz000651,格力电器
2019-10-23,6229.98,sz000651,格力电器
2019-10-24,6179.35,sz000651,格力电器
2019-10-25,6084.53,sz000651,格力电器
2019-10-28,6061.52,sz000651,格力电器
2019-10-29,6290.74,sz000651,格力电器
2019-10-30,6224.46,sz000651,格力电器
2019-10-31,6227.22,sz000651,格力电器
2019-11-01,6694.88,sz000651,格力电器
2019-11-04,6756.56,sz000651,格力电器
2019-11-05,6722.5,sz000651,格力电器
2019-11-06,6669.1,sz000651,格力电器
2019-11-07,6688.43,sz000651,格力电器
2019-11-08,6679.23,sz000651,格力电器
2019-11-11,6454.61,sz000651,格力电器
2019-11-12,6269.57,sz000651,格力电器
2019-11-13,6241.03,sz000651,格力电器
2019-11-14,6266.81,sz000651,格力电器
2019-11-15,6241.95,sz000651,格力电器
2019-11-18,6253.92,sz000651,格力电器
2019-11-19,6297.19,sz000651,格力电器
2019-11-20,6241.95,sz000651,格力电器
2019-11-21,6112.15,sz000651,格力电器
2019-11-22,6044.95,sz000651,格力电器
2019-11-25,6145.29,sz000651,格力电器
2019-11-26,6212.49,sz000651,格力电器
2019-11-27,6129.64,sz000651,格力电器
2019-11-28,6204.21,sz000651,格力电器
2019-11-29,6136.08,sz000651,格力电器
2019-12-03,6420.54,sz000651,格力电器
2019-12-04,6584.41,sz000651,格力电器
2019-12-05,6555.87,sz000651,格力电器
2019-12-06,6566.92,sz000651,格力电器
2019-12-09,6544.82,sz000651,格力电器
2019-12-10,6545.74,sz000651,格力电器
2019-12-11,6475.78,sz000651,格力电器
2019-12-12,6483.14,sz000651,格力电器
2019-12-13,6622.15,sz000651,格力电器
2019-12-16,6632.28,sz000651,格力电器
2019-12-17,6725.26,sz000651,格力电器
2019-12-18,6749.19,sz000651,格力电器
2019-12-19,6807.19,sz000651,格力电器
2019-12-20,6762.08,sz000651,格力电器
2019-12-23,6761.16,sz000651,格力电器
2019-12-24,6809.03,sz000651,格力电器
2019-12-25,6751.95,sz000651,格力电器
2019-12-26,6786.94,sz000651,格力电器
2019-12-27,6763.92,sz000651,格力电器
2019-12-30,6860.58,sz000651,格力电器
2019-12-31,6860.58,sz000651,格力电器
2020-01-02,7074.16,sz000651,格力电器
2020-01-03,7000.51,sz000651,格力电器
2020-01-06,6888.2,sz000651,格力电器
2020-01-07,7020.77,sz000651,格力电器
2020-01-08,7157.01,sz000651,格力电器
2020-01-09,7256.43,sz000651,格力电器
2020-01-10,7244.47,sz000651,格力电器
2020-01-13,7245.39,sz000651,格力电器
2020-01-14,7249.99,sz000651,格力电器
2020-01-15,7166.22,sz000651,格力电器
2020-01-16,7020.77,sz000651,格力电器
2020-01-17,7075.08,sz000651,格力电器
